Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
380090,BAY AREA HOSPITAL,1775 THOMPSON ROAD,,,COOS BAY,OR,97420,COOS,5412698111,4%,20%,76%,6%,16%,78%,8%,26%,66%,4%,22%,74%,19%,22%,59%,5%,19%,76%,16%,36%,48%,84%,16%,8%,28%,64%,4%,27%,69%,300 or more,34%,
380091,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,,,CLACKAMAS,OR,97015,CLACKAMAS,5038132000,4%,21%,75%,5%,16%,79%,9%,30%,61%,6%,25%,69%,19%,20%,61%,8%,20%,72%,12%,32%,56%,86%,14%,7%,24%,69%,4%,26%,70%,300 or more,34%,
380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,,,SPRINGFIELD,OR,97477,LANE,5412227300,4%,23%,73%,6%,19%,75%,13%,36%,51%,5%,29%,66%,17%,24%,59%,12%,17%,71%,8%,34%,58%,85%,15%,8%,20%,72%,5%,18%,77%,300 or more,38%,
381301,COTTAGE GROVE COMMUNITY HOSPITAL,1515  VILLAGE DRIVE,,,COTTAGE GROVE,OR,97424,LANE,5419420511,4%,21%,75%,4%,13%,83%,4%,14%,82%,6%,29%,65%,17%,25%,58%,5%,14%,81%,3%,34%,63%,82%,18%,8%,30%,62%,9%,19%,72%,Between 100 and 299,33%,
381302,SAMARITAN NORTH LINCOLN HOSPITAL,3043 NE 28TH STREET,,,LINCOLN CITY,OR,97367,LINCOLN,5419943661,5%,19%,76%,6%,18%,76%,4%,18%,78%,7%,22%,71%,19%,22%,59%,7%,15%,78%,11%,30%,59%,85%,15%,11%,27%,62%,7%,31%,62%,Between 100 and 299,33%,
381303,PROVIDENCE SEASIDE HOSPITAL,725 S WAHANNA ROAD,,,SEASIDE,OR,97138,CLATSOP,5037177000,3%,18%,79%,5%,13%,82%,7%,23%,70%,8%,14%,78%,19%,15%,66%,7%,20%,73%,15%,30%,55%,80%,20%,8%,25%,67%,6%,20%,74%,Between 100 and 299,26%,
381304,SOUTHERN COOS HOSPITAL & HEALTH CENTER,900 11TH STREET SE,,,BANDON,OR,97411,COOS,5413472426,2%,15%,83%,3%,15%,82%,2%,18%,80%,4%,18%,78%,13%,14%,73%,1%,13%,86%,4%,35%,61%,88%,12%,5%,25%,70%,3%,16%,81%,Between 100 and 299,41%,
381305,BLUE MOUNTAIN HOSPITAL,170 FORD ROAD,,,JOHN DAY,OR,97845,GRANT,5415751311,1%,14%,85%,0%,13%,87%,3%,21%,76%,2%,26%,72%,10%,17%,73%,4%,15%,81%,5%,43%,52%,80%,20%,6%,27%,67%,4%,20%,76%,Fewer than 100,36%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
381306,WALLOWA MEMORIAL HOSPITAL,601 MEDICAL PARKWAY,,,ENTERPRISE,OR,97828,WALLOWA,5414263111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381307,HARNEY DISTRICT HOSPITAL,557 W WASHINGTON STREET,,,BURNS,OR,97720,HARNEY,5415737281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381308,WEST VALLEY HOSPITAL,525 SE WASHINGTON STREET,,,DALLAS,OR,97338,POLK,5036238301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381309,LAKE DISTRICT HOSPITAL,700 SOUTH J STREET,,,LAKEVIEW,OR,97630,LAKE,5419472114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381310,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,,,HEPPNER,OR,97836,MORROW,5416769133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381311,LOWER UMPQUA HOSPITAL DISTRICT,600 RANCH ROAD,,,REEDSPORT,OR,97467,DOUGLAS,5412712171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381312,COQUILLE VALLEY HOSPITAL DISTRICT,940 EAST 5TH STREET,,,COQUILLE,OR,97423,COOS,5413963101,3%,19%,78%,2%,14%,84%,4%,19%,77%,5%,21%,74%,13%,16%,71%,2%,12%,86%,16%,37%,47%,80%,20%,6%,25%,69%,3%,23%,74%,Between 100 and 299,36%,
381313,PIONEER MEMORIAL HOSPITAL,1201 NE ELM STREET,,,PRINEVILLE,OR,97754,CROOK,5414476254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381314,SAMARITAN PACIFIC COMMUNITIES HOSPITAL,930 SW ABBEY STREET,,,NEWPORT,OR,97365,LINCOLN,5412652244,3%,15%,82%,3%,14%,83%,4%,16%,80%,5%,20%,75%,18%,17%,65%,6%,18%,76%,7%,32%,61%,86%,14%,7%,24%,69%,4%,28%,68%,300 or more,34%,
381315,"ST ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",3325 POCAHONTAS ROAD,,,BAKER CITY,OR,97814,BAKER,5415236461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381316,PEACE HARBOR HOSPITAL,400 9TH STREET,,,FLORENCE,OR,97439,LANE,5419978412,3%,20%,77%,5%,15%,80%,5%,21%,74%,3%,22%,75%,17%,18%,65%,5%,18%,77%,15%,36%,49%,84%,16%,6%,29%,65%,4%,25%,71%,300 or more,44%,
381317,TILLAMOOK COUNTY GENERAL HOSPITAL,1000 THIRD STREET,,,TILLAMOOK,OR,97141,TILLAMOOK,5038424444,2%,21%,77%,7%,20%,73%,6%,22%,72%,5%,26%,69%,20%,17%,63%,7%,22%,71%,10%,33%,57%,84%,16%,9%,27%,64%,6%,30%,64%,Between 100 and 299,30%,
381318,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,,,HOOD RIVER,OR,97031,HOOD RIVER,5413863911,1%,20%,79%,3%,12%,85%,5%,23%,72%,4%,24%,72%,14%,20%,66%,6%,20%,74%,7%,34%,59%,88%,12%,4%,18%,78%,2%,17%,81%,300 or more,34%,
381319,ST ANTHONY HOSPITAL,1601 SE COURT AVENUE,,,PENDLETON,OR,97801,UMATILLA,5412765121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381320,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,,,ASTORIA,OR,97103,CLATSOP,5033254321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381321,GRANDE RONDE HOSPITAL,900 SUNSET DRIVE,,,LA GRANDE,OR,97850,UNION,5419638421,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381322,CURRY GENERAL HOSPITAL,94220 FOURTH STREET,,,GOLD BEACH,OR,97444,CURRY,5412473000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381323,SAMARITAN LEBANON COMMUNITY HOSPITAL,525 N SANTIAM HIGHWAY,,,LEBANON,OR,97355,LINN,5412582101,3%,19%,78%,4%,18%,78%,3%,24%,73%,4%,21%,75%,15%,19%,66%,5%,17%,78%,10%,35%,55%,82%,18%,6%,26%,68%,3%,27%,70%,300 or more,29%,
381324,MOUNTAIN VIEW HOSPITAL DISTRICT,470 NE A STREET,,,MADRAS,OR,97741,JEFFERSON,5414753882,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
381325,GOOD SHEPHERD MEDICAL CENTER,610 NW 11TH STREET,,,HERMISTON,OR,97838,UMATILLA,5416673400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
390001,COMMUNITY MEDICAL CENTER,1822 MULBERRY STREET,,,SCRANTON,PA,18510,LACKAWANNA,5709698240,6%,21%,73%,7%,18%,75%,14%,26%,60%,8%,27%,65%,25%,19%,56%,9%,22%,69%,14%,35%,51%,82%,18%,13%,29%,58%,6%,30%,64%,300 or more,38%,
390002,UPMC MCKEESPORT,1500 FIFTH AVENUE,,,MC KEESPORT,PA,15132,ALLEGHENY,4126642000,7%,22%,71%,6%,19%,75%,13%,30%,57%,10%,29%,61%,27%,17%,56%,9%,22%,69%,16%,38%,46%,80%,20%,16%,27%,57%,9%,36%,55%,300 or more,29%,
390003,BLOOMSBURG HOSPITAL,549 EAST FAIR STREET,,,BLOOMSBURG,PA,17815,COLUMBIA,5703872100,2%,18%,80%,4%,17%,79%,6%,24%,70%,5%,25%,70%,20%,22%,58%,9%,20%,71%,12%,33%,55%,78%,22%,5%,25%,70%,2%,23%,75%,300 or more,40%,
390004,HOLY SPIRIT HOSPITAL,503 NORTH 21ST STREET,,,CAMP HILL,PA,17011,CUMBERLAND,7177632100,4%,19%,77%,6%,20%,74%,11%,27%,62%,7%,25%,68%,23%,19%,58%,8%,22%,70%,17%,36%,47%,79%,21%,8%,25%,67%,5%,25%,70%,300 or more,42%,
390006,GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,,,DANVILLE,PA,17822,MONTOUR,5702716211,3%,17%,80%,4%,17%,79%,7%,28%,65%,7%,27%,66%,19%,21%,60%,6%,20%,74%,15%,39%,46%,90%,10%,5%,19%,76%,2%,17%,81%,300 or more,41%,
390008,ELLWOOD CITY HOSPITAL,724 PERSHING STREET,,,ELLWOOD CITY,PA,16117,LAWRENCE,7247520081,4%,17%,79%,4%,13%,83%,8%,25%,67%,6%,20%,74%,17%,18%,65%,7%,18%,75%,7%,33%,60%,83%,17%,8%,24%,68%,5%,27%,68%,300 or more,38%,
390009,SAINT VINCENT HEALTH CENTER,232 WEST 25TH STREET,,,ERIE,PA,16544,ERIE,8144525000,4%,21%,75%,4%,17%,79%,10%,27%,63%,9%,25%,66%,22%,19%,59%,14%,28%,58%,15%,37%,48%,86%,14%,10%,24%,66%,5%,25%,70%,300 or more,39%,
390012,LANSDALE HOSPITAL,100 MEDICAL CAMPUS DRIVE,,,LANSDALE,PA,19446,MONTGOMERY,2153682100,5%,19%,76%,5%,19%,76%,14%,33%,53%,7%,27%,66%,26%,20%,54%,7%,26%,67%,12%,35%,53%,76%,24%,11%,31%,58%,5%,34%,61%,300 or more,34%,
390013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,,,LEWISBURG,PA,17837,UNION,5705222200,3%,17%,80%,4%,15%,81%,7%,25%,68%,6%,22%,72%,18%,23%,59%,4%,18%,78%,13%,39%,48%,87%,13%,6%,21%,73%,3%,17%,80%,300 or more,44%,
390016,JAMESON MEMORIAL HOSPITAL,1211 WILMINGTON AVENUE,,,NEW CASTLE,PA,16105,LAWRENCE,7246589001,4%,21%,75%,4%,17%,79%,11%,35%,54%,5%,29%,66%,24%,22%,54%,5%,20%,75%,17%,37%,46%,85%,15%,13%,30%,57%,6%,44%,50%,300 or more,31%,
390019,PALMERTON HOSPITAL,135 LAFAYETTE AVENUE,,,PALMERTON,PA,18071,CARBON,6108263141,6%,20%,74%,6%,19%,75%,13%,27%,60%,10%,20%,70%,22%,17%,61%,8%,18%,74%,13%,34%,53%,83%,17%,17%,27%,56%,10%,36%,54%,300 or more,37%,
390025,KENSINGTON HOSPITAL,136 W DIAMOND STREET,,,PHILADELPHIA,PA,19122,PHILADELPHIA,2154268100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey results are not available for this reporting period
390026,CHESTNUT HILL HOSPITAL,8835 GERMANTOWN AVE,,,PHILADELPHIA,PA,19118,PHILADELPHIA,2152488200,8%,20%,72%,7%,18%,75%,17%,29%,54%,10%,25%,65%,26%,19%,55%,12%,22%,66%,15%,27%,58%,79%,21%,9%,32%,59%,8%,33%,59%,300 or more,22%,
390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,,,PHILADELPHIA,PA,19140,PHILADELPHIA,2157072000,11%,21%,68%,8%,18%,74%,22%,28%,50%,13%,26%,61%,28%,18%,54%,14%,23%,63%,20%,28%,52%,79%,21%,17%,25%,58%,11%,31%,58%,300 or more,17%,
390028,UPMC MERCY,1400 LOCUST STREET,,,PITTSBURGH,PA,15219,ALLEGHENY,4122328111,8%,24%,68%,7%,20%,73%,19%,32%,49%,11%,27%,62%,26%,20%,54%,17%,24%,59%,18%,34%,48%,83%,17%,17%,30%,53%,10%,33%,57%,300 or more,33%,
390030,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,420 SOUTH JACKSON STREET,,,POTTSVILLE,PA,17901,SCHUYLKILL,5706215000,5%,19%,76%,5%,17%,78%,10%,22%,68%,6%,23%,71%,24%,19%,57%,8%,19%,73%,16%,38%,46%,75%,25%,10%,30%,60%,6%,40%,54%,300 or more,36%,
390031,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,700 EAST NORWEGIAN STREET,,,POTTSVILLE,PA,17901,SCHUYLKILL,5706214000,7%,20%,73%,7%,18%,75%,14%,25%,61%,11%,24%,65%,29%,18%,53%,10%,16%,74%,20%,39%,41%,78%,22%,15%,25%,60%,10%,33%,57%,300 or more,34%,
390032,ALLE KISKI MEDICAL CENTER,1301 CARLISLE ST,,,NATRONA,PA,15065,ALLEGHENY,4122245100,6%,21%,73%,5%,18%,77%,13%,28%,59%,9%,27%,64%,25%,19%,56%,8%,19%,73%,20%,38%,42%,81%,19%,13%,24%,63%,6%,36%,58%,300 or more,35%,
390035,ST LUKE'S QUAKERTOWN HOSPITAL,1021 PARK AVENUE,,,QUAKERTOWN,PA,18951,BUCKS,2155384500,4%,16%,80%,5%,21%,74%,8%,29%,63%,5%,27%,68%,22%,19%,59%,9%,20%,71%,10%,35%,55%,83%,17%,8%,23%,69%,4%,24%,72%,300 or more,33%,
390036,HERITAGE VALLEY BEAVER,1000 DUTCH RIDGE ROAD,,,BEAVER,PA,15009,BEAVER,4127287000,5%,20%,75%,4%,16%,80%,12%,27%,61%,8%,23%,69%,23%,20%,57%,7%,26%,67%,19%,41%,40%,76%,24%,9%,31%,60%,5%,33%,62%,300 or more,42%,
390037,HERITAGE VALLEY SEWICKLEY,720 BLACKBURN ROAD,,,SEWICKLEY,PA,15143,ALLEGHENY,4127416600,4%,14%,82%,4%,14%,82%,9%,26%,65%,5%,22%,73%,19%,18%,63%,10%,21%,69%,15%,33%,52%,81%,19%,7%,24%,69%,4%,21%,75%,300 or more,48%,
390039,SOMERSET HOSPITAL,225 SOUTH CENTER AVENUE,,,SOMERSET,PA,15501,SOMERSET,8144435000,4%,25%,71%,5%,18%,77%,12%,30%,58%,6%,31%,63%,21%,24%,55%,4%,19%,77%,17%,41%,42%,83%,17%,13%,33%,54%,5%,40%,55%,300 or more,41%,
390041,UNIONTOWN HOSPITAL,500 WEST BERKELEY STREET,,,UNIONTOWN,PA,15401,FAYETTE,7244305000,6%,17%,77%,5%,15%,80%,12%,24%,64%,10%,17%,73%,21%,20%,59%,7%,18%,75%,14%,31%,55%,87%,13%,8%,25%,67%,5%,33%,62%,300 or more,34%,
390042,"WASHINGTON HOSPITAL, THE",155 WILSON AVENUE,,,WASHINGTON,PA,15301,WASHINGTON,7242257000,5%,15%,80%,4%,16%,80%,8%,24%,68%,5%,22%,73%,20%,17%,63%,5%,19%,76%,12%,38%,50%,83%,17%,11%,25%,64%,3%,29%,68%,300 or more,38%,
390043,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,32-36 CENTRAL AVENUE,,,WELLSBORO,PA,16901,TIOGA,5707241631,2%,18%,80%,3%,13%,84%,4%,23%,73%,4%,21%,75%,15%,20%,65%,2%,16%,82%,12%,41%,47%,85%,15%,8%,23%,69%,4%,31%,65%,300 or more,43%,
390044,READING HOSPITAL MEDICAL CENTER,SIXTH AVENUE AND SPRUCE ST,,,READING,PA,19603,BERKS,6109888000,4%,21%,75%,5%,19%,76%,12%,30%,58%,5%,26%,69%,23%,21%,56%,10%,26%,64%,13%,37%,50%,85%,15%,8%,26%,66%,4%,27%,69%,300 or more,42%,
390045,WILLIAMSPORT HOSPITAL & MEDICAL CENTER,777 RURAL AVE,,,WILLIAMSPORT,PA,17701,LYCOMING,5703211000,4%,19%,77%,4%,15%,81%,10%,26%,64%,5%,24%,71%,18%,22%,60%,9%,21%,70%,13%,36%,51%,85%,15%,7%,24%,69%,3%,29%,68%,300 or more,43%,
390046,YORK HOSPITAL,1001 SOUTH GEORGE STREET,,,YORK,PA,17403,YORK,7178512345,5%,20%,75%,5%,19%,76%,11%,24%,65%,5%,29%,66%,23%,19%,58%,14%,28%,58%,16%,37%,47%,84%,16%,8%,24%,68%,3%,23%,74%,300 or more,35%,
390048,LEWISTOWN HOSPITAL,400 HIGHLAND AVENUE,,,LEWISTOWN,PA,17044,MIFFLIN,7172485411,5%,23%,72%,5%,23%,72%,8%,29%,63%,8%,29%,63%,25%,20%,55%,7%,19%,74%,14%,41%,45%,84%,16%,9%,33%,58%,4%,45%,51%,300 or more,34%,
390049,ST LUKE'S HOSPITAL BETHLEHEM,801 OSTRUM STREET,,,BETHLEHEM,PA,18015,NORTHAMPTON,6109544000,4%,19%,77%,5%,19%,76%,8%,27%,65%,5%,24%,71%,20%,20%,60%,9%,21%,70%,14%,36%,50%,81%,19%,9%,19%,72%,3%,23%,74%,300 or more,36%,
390050,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVENUE,,,PITTSBURGH,PA,15212,ALLEGHENY,4123593131,6%,20%,74%,4%,18%,78%,16%,33%,51%,8%,30%,62%,22%,20%,58%,12%,23%,65%,19%,33%,48%,81%,19%,13%,24%,63%,6%,27%,67%,300 or more,33%,
390052,CLEARFIELD HOSPITAL,809 TURNPIKE AVE,,,CLEARFIELD,PA,16830,CLEARFIELD,8147655341,6%,21%,73%,5%,14%,81%,16%,27%,57%,8%,25%,67%,23%,16%,61%,11%,21%,68%,18%,37%,45%,84%,16%,16%,32%,52%,9%,43%,48%,300 or more,40%,
390056,J C BLAIR MEMORIAL HOSPITAL,1225 WARM SPRINGS AVE,,,HUNTINGDON,PA,16652,HUNTINGDON,8146432290,3%,17%,80%,3%,14%,83%,6%,22%,72%,5%,21%,74%,19%,19%,62%,5%,15%,80%,10%,41%,49%,84%,16%,8%,31%,61%,4%,39%,57%,300 or more,36%,
390057,GRAND VIEW HOSPITAL,700 LAWN AVENUE,,,SELLERSVILLE,PA,18960,BUCKS,2154534615,4%,20%,76%,5%,19%,76%,6%,28%,66%,6%,21%,73%,18%,21%,61%,4%,17%,79%,13%,37%,50%,88%,12%,4%,18%,78%,2%,19%,79%,300 or more,42%,
390058,CARLISLE REGIONAL MEDICAL CENTER,361 ALEXANDER SPRING ROAD,,,CARLISLE,PA,17015,CUMBERLAND,7172491212,6%,25%,69%,7%,20%,73%,13%,31%,56%,7%,29%,64%,27%,20%,53%,6%,22%,72%,15%,39%,46%,83%,17%,14%,32%,54%,10%,38%,52%,300 or more,41%,
390061,LANCASTER REGIONAL MEDICAL CENTER,250 COLLEGE AVENUE,,,LANCASTER,PA,17604,LANCASTER,7172918123,4%,23%,73%,5%,17%,78%,5%,28%,67%,7%,22%,71%,22%,21%,57%,4%,17%,79%,12%,35%,53%,84%,16%,9%,22%,69%,5%,24%,71%,300 or more,41%,
390062,NASON HOSPITAL,105 NASON DRIVE,,,ROARING SPRING,PA,16673,BLAIR,8142242141,2%,19%,79%,3%,15%,82%,6%,28%,66%,5%,23%,72%,17%,18%,65%,4%,13%,83%,10%,37%,53%,80%,20%,4%,24%,72%,2%,21%,77%,300 or more,51%,
390063,UPMC HAMOT,201 STATE STREET,,,ERIE,PA,16550,ERIE,8148776000,5%,20%,75%,7%,17%,76%,8%,27%,65%,7%,24%,69%,25%,20%,55%,8%,26%,66%,15%,39%,46%,87%,13%,7%,23%,70%,5%,19%,76%,300 or more,37%,
390065,GETTYSBURG HOSPITAL,147 GETTYS STREET,,,GETTYSBURG,PA,17325,ADAMS,7173342121,4%,20%,76%,4%,19%,77%,10%,28%,62%,7%,25%,68%,22%,20%,58%,9%,21%,70%,16%,39%,45%,86%,14%,10%,28%,62%,4%,31%,65%,300 or more,35%,
390066,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,,,LEBANON,PA,17042,LEBANON,7172707500,4%,18%,78%,6%,18%,76%,10%,31%,59%,7%,25%,68%,20%,19%,61%,6%,18%,76%,14%,38%,48%,81%,19%,9%,26%,65%,6%,29%,65%,300 or more,38%,
390067,PINNACLE HEALTH HOSPITALS,409 SOUTH SECOND STREET,,,HARRISBURG,PA,17105,DAUPHIN,7177825181,4%,21%,75%,5%,19%,76%,15%,31%,54%,7%,27%,66%,26%,16%,58%,14%,24%,62%,15%,38%,47%,82%,18%,8%,27%,65%,4%,26%,70%,300 or more,39%,
390068,HEART OF LANCASTER REGIONAL MEDICAL CENTER,1500 HIGHLANDS DRIVE,,,LITITZ,PA,17543,LANCASTER,7176255000,6%,25%,69%,5%,21%,74%,10%,29%,61%,9%,30%,61%,25%,20%,55%,8%,22%,70%,13%,33%,54%,79%,21%,10%,26%,64%,8%,25%,67%,300 or more,42%,
390070,LOWER BUCKS HOSPITAL,501 BATH ROAD,,,BRISTOL,PA,19007,BUCKS,2157859200,6%,19%,75%,7%,18%,75%,11%,22%,67%,8%,22%,70%,23%,19%,58%,12%,23%,65%,17%,33%,50%,78%,22%,14%,31%,55%,9%,35%,56%,300 or more,30%,
390071,LOCK HAVEN HOSPITAL,24 CREE DRIVE,,,LOCK HAVEN,PA,17745,CLINTON,5708935000,3%,18%,79%,4%,15%,81%,4%,25%,71%,6%,23%,71%,23%,19%,58%,12%,20%,68%,9%,29%,62%,84%,16%,9%,31%,60%,7%,39%,54%,300 or more,33%,
390072,BERWICK HOSPITAL CENTER,701 EAST 16TH STREET,,,BERWICK,PA,18603,COLUMBIA,5707595000,6%,20%,74%,6%,16%,78%,13%,28%,59%,9%,25%,66%,28%,17%,55%,11%,21%,68%,13%,30%,57%,81%,19%,13%,29%,58%,7%,38%,55%,300 or more,30%,
390073,ALTOONA REGIONAL HEALTH SYSTEM,620 HOWARD AVENUE,,,ALTOONA,PA,16601,BLAIR,8148892011,5%,17%,78%,4%,15%,81%,8%,28%,64%,4%,28%,68%,17%,21%,62%,6%,21%,73%,18%,30%,52%,82%,18%,8%,28%,64%,4%,30%,66%,300 or more,42%,
390076,BRANDYWINE HOSPITAL,201 REESEVILLE ROAD,,,COATESVILLE,PA,19320,CHESTER,6103838000,7%,18%,75%,6%,20%,74%,12%,31%,57%,7%,23%,70%,25%,19%,56%,8%,24%,68%,18%,33%,49%,80%,20%,9%,32%,59%,7%,35%,58%,300 or more,25%,
390079,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,,,SAYRE,PA,18840,BRADFORD,5708886666,4%,19%,77%,7%,21%,72%,10%,23%,67%,5%,23%,72%,20%,16%,64%,8%,21%,71%,17%,37%,46%,81%,19%,10%,20%,70%,3%,26%,71%,300 or more,39%,
